100,-6.27744e+66,-6.27744e+66,-6.27744e+66
100100,-6.27744e+66,-6.27744e+66,-6.27744e+66
200100,-6.27744e+66,-6.27744e+66,-6.27744e+66
300100,-6.27744e+66,-6.27744e+66,-6.27744e+66
400100,-6.27744e+66,-6.27744e+66,-6.27744e+66
500100,-6.27744e+66,-6.27744e+66,-6.27744e+66
600100,-6.27744e+66,-6.27744e+66,-6.27744e+66
700100,-6.27744e+66,-6.27744e+66,-6.27744e+66
800100,-6.27744e+66,-6.27744e+66,-6.27744e+66
900100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1000100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1100100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1200100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1300100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1400100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1500100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1600100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1700100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1800100,-6.27744e+66,-6.27744e+66,-6.27744e+66
1900100,-6.27744e+66,-6.27744e+66,-6.27744e+66
